step,tokens_per_second,model
2,837822.7261876459,LN
3,1145991.515662587,LN
4,1138728.684518356,LN
5,1137548.9909348805,LN
6,1147699.7130617527,LN
11,1147363.5729494288,LN
14,1149029.434255032,LN
18,1149624.5273390613,LN
19,1152639.067683676,LN
21,1141589.8692984271,LN
24,1146235.2324791362,LN
27,1142733.6224906722,LN
29,1147328.453280556,LN
35,1137964.9817975827,LN
36,1136846.4221779385,LN
38,1134827.458277599,LN
42,1102353.4950863326,LN
47,1104887.272653215,LN
49,1099392.1604945597,LN
50,1102109.667632499,LN
52,1106918.3876807678,LN
57,1101698.1313339877,LN
58,1094490.833492492,LN
59,1128445.728553258,LN
60,1102559.1011315277,LN
61,1097642.708124966,LN
63,1089756.8509508553,LN
69,1095336.9336097022,LN
70,1079287.9305336603,LN
71,1106806.218627568,LN
75,1080881.553322926,LN
76,1088304.2703994268,LN
77,1096636.2475349633,LN
79,1043454.471046145,LN
80,1065007.514326839,LN
81,1067957.7481491845,LN
83,1072044.4203344705,LN
84,1091692.923061037,LN
85,1092036.2754583957,LN
86,1057499.295754274,LN
89,1060637.836870899,LN
91,1078290.8635807312,LN
92,1048654.0058025862,LN
93,1085622.1776353335,LN
95,1056059.699423327,LN
96,1061338.125632018,LN
98,1065466.4239752444,LN
100,1056251.7798792648,LN
101,1073523.764485339,LN
103,1048996.835497029,LN
104,1066144.8478543193,LN
105,1021417.4539702792,LN
107,1056638.8583129067,LN
110,1071071.119320964,LN
112,1059067.2611619085,LN
113,1046918.623791224,LN
117,1042266.8577267858,LN
119,1047051.5528411826,LN
121,1063656.4770393225,LN
122,1044498.5837046644,LN
123,1048566.0000953664,LN
125,1045356.5816133276,LN
126,1041674.393216635,LN
130,1075608.0319460523,LN
135,1104007.8838844334,LN
137,1058806.177227867,LN
138,1047743.9940233008,LN
141,1062777.7767020697,LN
143,1075753.9601507247,LN
145,1041473.108690312,LN
146,1051608.746170444,LN
149,1044229.4258201316,LN
150,1042283.3246947596,LN
154,1067222.4566104326,LN
155,1045047.2486663392,LN
160,1059317.5874495397,LN
161,1056058.3469917784,LN
163,1058059.6713451538,LN
164,1088235.3332528342,LN
166,1056954.4152022947,LN
169,1080077.4344717383,LN
172,1043383.1775349024,LN
175,1044373.5766711226,LN
176,1040909.1372862112,LN
177,1036261.0185654792,LN
178,1039884.642381826,LN
179,1055486.5789118668,LN
181,1043813.06666346,LN
182,1051870.9882246545,LN
183,1049687.1762672963,LN
188,1102016.8794820225,LN
189,1124381.4461904718,LN
190,1130980.7913003347,LN
192,1136910.6836860816,LN
193,1147875.4465924276,LN
197,1143008.43267878,LN
199,1146750.8836782414,LN
200,1136668.5653998784,LN
201,1141742.3955007829,LN
203,1145366.7681268824,LN
206,1139553.2498699296,LN
207,1152654.3734455842,LN
208,1152031.9985694487,LN
209,1151395.8265102028,LN
210,1152560.9340756794,LN
212,1146075.1323012223,LN
213,1151299.3763217027,LN
216,1153217.7470688266,LN
217,1144221.7096742862,LN
222,1152609.2628927687,LN
223,1140909.9246969365,LN
225,1152697.0706141363,LN
226,1148857.3486136536,LN
229,1148344.599069915,LN
232,1154958.0855762896,LN
233,1155095.598016275,LN
234,1143502.948541698,LN
236,1155106.1150212283,LN
238,1152827.5985539218,LN
239,1157355.4832589608,LN
240,1150334.9600928489,LN
241,1154319.486543405,LN
242,1154679.116834018,LN
243,1156727.211409695,LN
245,1144538.5368410167,LN
247,1156846.481879946,LN
249,1155896.2466895145,LN
251,1155260.6561741086,LN
252,1156329.8207341398,LN
256,1147504.0731277808,LN
258,1138896.9625343634,LN
259,1146434.4244803651,LN
260,1145922.2425473286,LN
261,1152084.3069258449,LN
263,1149327.3042324483,LN
264,1147366.7657532122,LN
265,1151514.0000167568,LN
267,1147833.1058667798,LN
268,1151098.4903191496,LN
272,1152020.7327759268,LN
273,1148884.5587257182,LN
274,1151604.0532570656,LN
275,1150608.622559016,LN
278,1152937.2003925922,LN
280,1145151.2490914569,LN
281,1148468.5449083534,LN
285,1144900.8399418823,LN
286,1152018.3187059811,LN
287,1154577.2661915629,LN
288,1154242.740552351,LN
289,1155428.1898826405,LN
298,1158534.317094707,LN
301,1154720.3472029003,LN
304,1154662.1404790825,LN
305,1157205.252862724,LN
307,1157769.0212323854,LN
309,1157471.6340259726,LN
310,1155769.0726432686,LN
312,1155270.366946553,LN
313,1144353.5011705344,LN
314,1146608.9735683096,LN
315,1155168.411977343,LN
316,1155194.3035980323,LN
318,1153420.1801561376,LN
319,1157253.9719609644,LN
321,1158771.1862403306,LN
322,1157132.1819062012,LN
324,1154801.1996109742,LN
325,1153654.9624748707,LN
328,1157821.851880401,LN
329,1153757.457572885,LN
333,1158183.6681600998,LN
334,1150343.7858824302,LN
337,1155957.8187017525,LN
338,1156316.038611468,LN
339,1156064.7751569792,LN
340,1150114.359359081,LN
342,1157194.697598772,LN
345,1155975.643403246,LN
346,1154301.7128795402,LN
348,1152333.8429125494,LN
350,1153744.5438019547,LN
351,1146754.8704245016,LN
355,1151470.586522229,LN
359,1153739.7012123845,LN
360,1156483.8785811705,LN
361,1157166.2805375005,LN
363,1154652.4399289538,LN
364,1151518.019950358,LN
365,1157071.296491254,LN
369,1152755.07938252,LN
371,1157186.578295991,LN
377,1154719.5387359937,LN
380,1154581.3075413646,LN
383,1158350.4236627575,LN
384,1151321.0762052357,LN
386,1157487.8807468482,LN
387,1156237.4057258472,LN
390,1158187.7347962474,LN
394,1145884.026482373,LN
395,1155335.1096017368,LN
396,1155693.753443395,LN
397,1158425.2758901888,LN
398,1158250.3645993834,LN
399,1153463.7407875992,LN
401,1158839.5788550638,LN
403,1159096.9376859772,LN
405,1139598.9190863958,LN
406,1160680.250778881,LN
412,1161713.6489178936,LN
414,1159644.6126149436,LN
415,1159729.418080407,LN
416,1156335.4958213207,LN
418,1157837.295595877,LN
420,1161281.7525709171,LN
422,1156440.089544013,LN
424,1162329.3289140502,LN
425,1156554.4345611343,LN
431,1150504.278403395,LN
432,1134262.4031074713,LN
434,1144897.660847309,LN
435,1151092.8665200055,LN
436,1145981.163975194,LN
438,1135389.9502023957,LN
442,1134888.3679827584,LN
443,1145295.97986717,LN
445,1146641.6576150665,LN
448,1136442.2115093488,LN
449,1146410.517784902,LN
451,1148073.61074573,LN
454,1102741.1891385906,LN
455,1104935.3872803636,LN
456,1105362.680900232,LN
457,1096785.7495930116,LN
462,1144894.4817703904,LN
464,1075531.5757627927,LN
466,1091172.1626608374,LN
469,1083281.1868471974,LN
470,1091234.9742413706,LN
471,1096991.4726993854,LN
476,1097839.9834279004,LN
477,1098149.9218728775,LN
478,1103682.0744412888,LN
479,1102313.7092248497,LN
482,1100431.5885840564,LN
483,1135827.0473519687,LN
484,1100298.7081185407,LN
486,1095557.3959482242,LN
488,1078931.3715082705,LN
490,1086832.6382185426,LN
491,1100477.1130298316,LN
492,1123742.513003047,LN
493,1105537.5444181084,LN
497,1088618.18843704,LN
498,1104534.3134774866,LN
499,1093210.3632422716,LN
500,1118975.8395123712,LN
507,1100795.8896472552,LN
510,1089753.9707221538,LN
511,1110249.9654417527,LN
512,1090714.650547782,LN
513,1099688.3110313057,LN
515,1107264.6951715916,LN
517,1091208.2603866314,LN
519,1103547.669452411,LN
521,1089625.8159564326,LN
522,1085157.8827416815,LN
523,1094405.1334234462,LN
525,1110931.2605132358,LN
526,1095340.570882081,LN
528,1078790.9307716913,LN
529,1082644.0337304792,LN
534,1129057.5586764854,LN
535,1111834.4597043905,LN
538,1063123.737246679,LN
539,1041189.0746939912,LN
541,1092696.841805937,LN
543,1056735.6722536215,LN
545,1070688.6882873056,LN
551,1063463.7514799996,LN
554,1063053.1567133586,LN
555,1070314.8653361178,LN
557,1096416.0797109494,LN
560,1082709.4211719723,LN
562,1075748.346795292,LN
564,1068707.2111226022,LN
565,1101353.0901427185,LN
566,1091322.3448998714,LN
569,1109868.1776981608,LN
570,1090578.337090777,LN
573,1080348.407719865,LN
576,1124669.7400818032,LN
581,1120908.2721469218,LN
583,1097789.561883259,LN
584,1091869.270793294,LN
585,1079783.2676210518,LN
590,1091737.7273322428,LN
593,1113201.031932687,LN
595,1099897.32510467,LN
598,1090816.3669099056,LN
599,1136528.356342061,LN
601,1086640.0145898452,LN
602,1091208.2603866314,LN
604,1086633.5711135431,LN
605,1087632.5055503787,LN
606,1085541.4332246871,LN
607,1085350.695468655,LN
608,1093487.2420637235,LN
610,1088849.6123716568,LN
613,1096518.862294511,LN
616,1087900.1072974452,LN
618,1087455.3725457098,LN
620,1090234.4593499051,LN
622,1083488.9925541098,LN
625,1130779.1798031295,LN
628,1145782.925436841,LN
629,1139697.3565686091,LN
631,1137013.3604389029,LN
632,1146126.104618994,LN
633,1140583.270974961,LN
634,1146217.7068966236,LN
635,1147985.706912273,LN
636,1145015.299106005,LN
638,1150557.2507633676,LN
639,1150202.5894986584,LN
640,1149039.8410861786,LN
649,1148418.1636951205,LN
655,1154430.988375666,LN
659,1154925.7344661767,LN
660,1152593.958328849,LN
662,1145180.6694186355,LN
666,1149391.3824706166,LN
671,1157222.3040804942,LN
677,1148315.015954047,LN
683,1152763.1366176745,LN
684,1154069.8974898676,LN
685,1150850.2920717946,LN
687,1154077.9731155331,LN
691,1147648.6006830498,LN
698,1156014.535569194,LN
699,1150264.3586513193,LN
700,1155055.958718873,LN
701,1157993.3815253826,LN
703,1148863.7508770071,LN
706,1154591.8151832556,LN
707,1143790.8205482787,LN
709,1155166.7937895863,LN
711,1147911.3987172483,LN
712,1154541.7035332068,LN
714,1154731.6658584622,LN
715,1151923.3733128177,LN
718,1158092.5829941777,LN
719,1160071.21194349,LN
720,1145864.123291383,LN
724,1144393.203353937,LN
725,1157158.1616334824,LN
727,1159006.523301108,LN
729,1157192.2617959743,LN
730,1157295.386419948,LN
732,1155101.260995145,LN
734,1159356.8557660745,LN
735,1151933.0280616789,LN
736,1154734.0913135228,LN
739,1159294.9211322274,LN
741,1157286.4536388617,LN
743,1159064.3542999304,LN
746,1152713.9892351597,LN
752,1154916.0294865484,LN
755,1153104.060843818,LN
756,1157018.5343141726,LN
757,1145995.497130612,LN
761,1157187.390221142,LN
763,1143168.4695144435,LN
764,1144713.3035649713,LN
765,1146839.395968842,LN
766,1144042.3314867918,LN
768,1149183.9550490398,LN
769,1145374.7224107722,LN
771,1141102.5328949552,LN
773,1150247.511860832,LN
782,1151477.0179444896,LN
783,1149467.484659293,LN
785,1151973.2579240324,LN
788,1148746.9208015546,LN
789,1152884.8145610415,LN
790,1151738.3552323668,LN
792,1150640.732260925,LN
793,1153225.004397487,LN
799,1154420.4836608444,LN
801,1154018.216161752,LN
806,1150593.3710783964,LN
809,1155655.692635624,LN
812,1149706.2706090992,LN
815,1155639.4973075653,LN
816,1146165.9298971538,LN
817,1153784.0931384414,LN
818,1153933.4365086197,LN
819,1153943.9323614442,LN
820,1148441.35449818,LN
821,1155625.7316356073,LN
822,1152416.7771829132,LN
826,1155773.1223407162,LN
828,1149789.628657955,LN
829,1154094.9322973122,LN
830,1152351.556026017,LN
835,1151683.665617587,LN
836,1150643.9433296844,LN
837,1152987.9788958416,LN
839,1155120.6773442556,LN
840,1142365.568121463,LN
841,1154308.9838576925,LN
843,1153828.4884807265,LN
844,1146254.3519076584,LN
846,1153454.060362933,LN
848,1146414.5021649054,LN
849,1148675.7141243308,LN
850,1153610.5804846897,LN
851,1157692.6285146314,LN
853,1155109.3510612815,LN
855,1156399.5470958324,LN
856,1155127.9586434597,LN
859,1157057.4966879429,LN
860,1151309.8243116646,LN
862,1150718.605731031,LN
863,1155322.1604901862,LN
864,1153375.0096430012,LN
865,1150830.2159874567,LN
866,1155062.430255067,LN
869,1147286.1528975237,LN
870,1154153.889521506,LN
871,1152535.9657747434,LN
872,1155603.0594790329,LN
873,1146130.0870222684,LN
875,1153133.8912300523,LN
877,1152674.513225302,LN
880,1155385.2901508342,LN
881,1153110.5105262827,LN
882,1156144.19502511,LN
883,1156145.0054881694,LN
884,1155955.38810323,LN
885,1155562.5756977445,LN
887,1157534.9988166844,LN
889,1156256.860289473,LN
891,1156115.0191117092,LN
893,1146704.639447335,LN
896,1155683.2257351133,LN
